Crime Type,Victim Count,State/Territory,Year
No Lead Value,1,Northern Mariana Islands,2019
Non-payment/Non-Delivery,0,Northern Mariana Islands,2019
Other,0,Northern Mariana Islands,2019
Overpayment,0,Northern Mariana Islands,2019
Personal Data Breach,2,Northern Mariana Islands,2019
Phishing/Vishing/Smishing/Pharming,1,Northern Mariana Islands,2019
Ransomware,0,Northern Mariana Islands,2019
Re-shipping,0,Northern Mariana Islands,2019
Real Estate/Rental,0,Northern Mariana Islands,2019
Spoofing,1,Northern Mariana Islands,2019
Tech Support,0,Northern Mariana Islands,2019
Terrorism,0,Northern Mariana Islands,2019
Social Media,2,Northern Mariana Islands,2019
Virtual Currency,1,Northern Mariana Islands,2019
Advanced Fee,349,Ohio,2019
BEC/EAC,613,Ohio,2019
Charity,18,Ohio,2019
Civil Matter,26,Ohio,2019
Confidence Fraud/Romance,456,Ohio,2019
Corporate Data Breach,29,Ohio,2019
Credit Card Fraud,310,Ohio,2019
Crimes Against Children,39,Ohio,2019
Criminal Forums,0,Ohio,2019
Denial of Service/TDos,25,Ohio,2019
Employment,290,Ohio,2019
Extortion,"1,051",Ohio,2019
Gambling,9,Ohio,2019
Government Impersonation,316,Ohio,2019
Hacktivist,0,Ohio,2019
Harassment/Threats of Violence,634,Ohio,2019
Health Care Related,8,Ohio,2019
IPR/Copyright and Counterfeit,67,Ohio,2019
Identity Theft,325,Ohio,2019
Investment,39,Ohio,2019
Lottery/Sweepstakes/Inheritance,141,Ohio,2019
Malware/Scareware/Virus,60,Ohio,2019
Misrepresentation,154,Ohio,2019
No Lead Value,922,Ohio,2019
Non-payment/Non-Delivery,"1,557",Ohio,2019
Other,137,Ohio,2019
Overpayment,357,Ohio,2019
Personal Data Breach,931,Ohio,2019
Phishing/Vishing/Smishing/Pharming,546,Ohio,2019
Ransomware,63,Ohio,2019
Re-shipping,19,Ohio,2019
Real Estate/Rental,195,Ohio,2019
Spoofing,"1,316",Ohio,2019
Tech Support,341,Ohio,2019
Terrorism,1,Ohio,2019
Social Media,715,Ohio,2019
Virtual Currency,658,Ohio,2019
Advanced Fee,133,Oklahoma,2019
BEC/EAC,161,Oklahoma,2019
Charity,3,Oklahoma,2019
Civil Matter,14,Oklahoma,2019
Confidence Fraud/Romance,182,Oklahoma,2019
Corporate Data Breach,11,Oklahoma,2019
Credit Card Fraud,106,Oklahoma,2019
Crimes Against Children,14,Oklahoma,2019
Criminal Forums,0,Oklahoma,2019
Denial of Service/TDos,6,Oklahoma,2019
Employment,128,Oklahoma,2019
Extortion,548,Oklahoma,2019
Gambling,0,Oklahoma,2019
Government Impersonation,132,Oklahoma,2019
Hacktivist,0,Oklahoma,2019
Harassment/Threats of Violence,103,Oklahoma,2019
Health Care Related,2,Oklahoma,2019
IPR/Copyright and Counterfeit,12,Oklahoma,2019
Identity Theft,114,Oklahoma,2019
Investment,20,Oklahoma,2019
Lottery/Sweepstakes/Inheritance,59,Oklahoma,2019
Malware/Scareware/Virus,30,Oklahoma,2019
Misrepresentation,36,Oklahoma,2019
No Lead Value,145,Oklahoma,2019
Non-payment/Non-Delivery,487,Oklahoma,2019
Other,44,Oklahoma,2019
Overpayment,115,Oklahoma,2019
Personal Data Breach,329,Oklahoma,2019
Phishing/Vishing/Smishing/Pharming,169,Oklahoma,2019
Ransomware,30,Oklahoma,2019
Re-shipping,9,Oklahoma,2019
Real Estate/Rental,36,Oklahoma,2019
Spoofing,146,Oklahoma,2019
Tech Support,115,Oklahoma,2019
Terrorism,0,Oklahoma,2019
Social Media,279,Oklahoma,2019
Virtual Currency,370,Oklahoma,2019
Advanced Fee,215,Oregon,2019
BEC/EAC,317,Oregon,2019
Charity,4,Oregon,2019
Civil Matter,15,Oregon,2019
Confidence Fraud/Romance,261,Oregon,2019
Corporate Data Breach,24,Oregon,2019
Credit Card Fraud,208,Oregon,2019
Crimes Against Children,18,Oregon,2019
Criminal Forums,0,Oregon,2019
Denial of Service/TDos,19,Oregon,2019
Employment,160,Oregon,2019
Extortion,756,Oregon,2019
Gambling,0,Oregon,2019
Government Impersonation,232,Oregon,2019
Hacktivist,1,Oregon,2019
Harassment/Threats of Violence,228,Oregon,2019
Health Care Related,6,Oregon,2019
IPR/Copyright and Counterfeit,36,Oregon,2019
Identity Theft,191,Oregon,2019
Investment,17,Oregon,2019
Lottery/Sweepstakes/Inheritance,102,Oregon,2019
Malware/Scareware/Virus,41,Oregon,2019
Misrepresentation,69,Oregon,2019
No Lead Value,324,Oregon,2019
Non-payment/Non-Delivery,744,Oregon,2019
Other,112,Oregon,2019
Overpayment,234,Oregon,2019
Personal Data Breach,570,Oregon,2019
Phishing/Vishing/Smishing/Pharming,349,Oregon,2019
Ransomware,27,Oregon,2019
Re-shipping,12,Oregon,2019
Real Estate/Rental,201,Oregon,2019
Spoofing,255,Oregon,2019
Tech Support,201,Oregon,2019
Terrorism,0,Oregon,2019
Social Media,411,Oregon,2019
Virtual Currency,506,Oregon,2019
Advanced Fee,400,Pennsylvania,2019
BEC/EAC,826,Pennsylvania,2019
Charity,13,Pennsylvania,2019
Civil Matter,18,Pennsylvania,2019
Confidence Fraud/Romance,607,Pennsylvania,2019
Corporate Data Breach,43,Pennsylvania,2019
Credit Card Fraud,445,Pennsylvania,2019
Crimes Against Children,31,Pennsylvania,2019
Criminal Forums,0,Pennsylvania,2019
Denial of Service/TDos,37,Pennsylvania,2019
Employment,411,Pennsylvania,2019
Extortion,"1,376",Pennsylvania,2019
Gambling,11,Pennsylvania,2019
Government Impersonation,416,Pennsylvania,2019
Hacktivist,1,Pennsylvania,2019
Harassment/Threats of Violence,382,Pennsylvania,2019
Health Care Related,125,Pennsylvania,2019
IPR/Copyright and Counterfeit,93,Pennsylvania,2019
Identity Theft,532,Pennsylvania,2019
Investment,62,Pennsylvania,2019
Lottery/Sweepstakes/Inheritance,216,Pennsylvania,2019
Malware/Scareware/Virus,56,Pennsylvania,2019
Misrepresentation,152,Pennsylvania,2019
No Lead Value,519,Pennsylvania,2019
Non-payment/Non-Delivery,"1,980",Pennsylvania,2019
Other,440,Pennsylvania,2019
Overpayment,498,Pennsylvania,2019
Personal Data Breach,"1,201",Pennsylvania,2019
Phishing/Vishing/Smishing/Pharming,778,Pennsylvania,2019
Ransomware,76,Pennsylvania,2019
Re-shipping,33,Pennsylvania,2019
Real Estate/Rental,334,Pennsylvania,2019
Spoofing,731,Pennsylvania,2019
Tech Support,553,Pennsylvania,2019
Terrorism,1,Pennsylvania,2019
Social Media,916,Pennsylvania,2019
Virtual Currency,869,Pennsylvania,2019
Advanced Fee,48,Puerto Rico,2019
BEC/EAC,24,Puerto Rico,2019
Charity,1,Puerto Rico,2019
Civil Matter,1,Puerto Rico,2019
Confidence Fraud/Romance,59,Puerto Rico,2019
Corporate Data Breach,5,Puerto Rico,2019
Credit Card Fraud,22,Puerto Rico,2019
Crimes Against Children,8,Puerto Rico,2019
Criminal Forums,0,Puerto Rico,2019
Denial of Service/TDos,0,Puerto Rico,2019
Employment,31,Puerto Rico,2019
Extortion,114,Puerto Rico,2019
Gambling,0,Puerto Rico,2019
Government Impersonation,42,Puerto Rico,2019
Hacktivist,0,Puerto Rico,2019
Harassment/Threats of Violence,75,Puerto Rico,2019
Health Care Related,4,Puerto Rico,2019
IPR/Copyright and Counterfeit,3,Puerto Rico,2019
Identity Theft,15,Puerto Rico,2019
Investment,11,Puerto Rico,2019
Lottery/Sweepstakes/Inheritance,18,Puerto Rico,2019
Malware/Scareware/Virus,5,Puerto Rico,2019
Misrepresentation,10,Puerto Rico,2019
No Lead Value,104,Puerto Rico,2019
Non-payment/Non-Delivery,98,Puerto Rico,2019
Other,37,Puerto Rico,2019
Overpayment,26,Puerto Rico,2019
Personal Data Breach,118,Puerto Rico,2019
Phishing/Vishing/Smishing/Pharming,52,Puerto Rico,2019
Ransomware,10,Puerto Rico,2019
Re-shipping,2,Puerto Rico,2019
Real Estate/Rental,26,Puerto Rico,2019
Spoofing,41,Puerto Rico,2019
Tech Support,16,Puerto Rico,2019
Terrorism,0,Puerto Rico,2019
Social Media,105,Puerto Rico,2019
Virtual Currency,48,Puerto Rico,2019
Advanced Fee,40,Rhode Island,2019
BEC/EAC,108,Rhode Island,2019
Charity,0,Rhode Island,2019
Civil Matter,2,Rhode Island,2019
Confidence Fraud/Romance,55,Rhode Island,2019
Corporate Data Breach,2,Rhode Island,2019
Credit Card Fraud,38,Rhode Island,2019
Crimes Against Children,2,Rhode Island,2019
Criminal Forums,0,Rhode Island,2019
Denial of Service/TDos,1,Rhode Island,2019
Employment,26,Rhode Island,2019
Extortion,92,Rhode Island,2019
Gambling,3,Rhode Island,2019
Government Impersonation,34,Rhode Island,2019
Hacktivist,0,Rhode Island,2019
Harassment/Threats of Violence,36,Rhode Island,2019
Health Care Related,0,Rhode Island,2019
IPR/Copyright and Counterfeit,6,Rhode Island,2019
Identity Theft,54,Rhode Island,2019
Investment,11,Rhode Island,2019
Lottery/Sweepstakes/Inheritance,18,Rhode Island,2019
Malware/Scareware/Virus,7,Rhode Island,2019
Misrepresentation,10,Rhode Island,2019
No Lead Value,130,Rhode Island,2019
Non-payment/Non-Delivery,169,Rhode Island,2019
Other,16,Rhode Island,2019
Overpayment,34,Rhode Island,2019
Personal Data Breach,98,Rhode Island,2019
Phishing/Vishing/Smishing/Pharming,76,Rhode Island,2019
Ransomware,9,Rhode Island,2019
Re-shipping,1,Rhode Island,2019
Real Estate/Rental,47,Rhode Island,2019
Spoofing,65,Rhode Island,2019
Tech Support,37,Rhode Island,2019
Terrorism,1,Rhode Island,2019
Social Media,68,Rhode Island,2019
Virtual Currency,64,Rhode Island,2019
Advanced Fee,189,South Carolina,2019
BEC/EAC,270,South Carolina,2019
Charity,3,South Carolina,2019
Civil Matter,5,South Carolina,2019
Confidence Fraud/Romance,212,South Carolina,2019
Corporate Data Breach,15,South Carolina,2019
Credit Card Fraud,136,South Carolina,2019
Crimes Against Children,16,South Carolina,2019
Criminal Forums,0,South Carolina,2019
Denial of Service/TDos,17,South Carolina,2019
Employment,185,South Carolina,2019
Extortion,500,South Carolina,2019
Gambling,1,South Carolina,2019
Government Impersonation,160,South Carolina,2019
Hacktivist,1,South Carolina,2019
Harassment/Threats of Violence,138,South Carolina,2019
Health Care Related,2,South Carolina,2019
IPR/Copyright and Counterfeit,20,South Carolina,2019
Identity Theft,158,South Carolina,2019
Investment,25,South Carolina,2019
Lottery/Sweepstakes/Inheritance,68,South Carolina,2019
Malware/Scareware/Virus,25,South Carolina,2019
Misrepresentation,61,South Carolina,2019
No Lead Value,839,South Carolina,2019
Non-payment/Non-Delivery,814,South Carolina,2019
Other,55,South Carolina,2019
Overpayment,205,South Carolina,2019
Personal Data Breach,406,South Carolina,2019
Phishing/Vishing/Smishing/Pharming,238,South Carolina,2019
Ransomware,27,South Carolina,2019
Re-shipping,14,South Carolina,2019
Real Estate/Rental,127,South Carolina,2019
Spoofing,299,South Carolina,2019
Tech Support,169,South Carolina,2019
Terrorism,0,South Carolina,2019
Social Media,305,South Carolina,2019
Virtual Currency,281,South Carolina,2019
Advanced Fee,25,South Dakota,2019
BEC/EAC,34,South Dakota,2019
Charity,0,South Dakota,2019
Civil Matter,2,South Dakota,2019
Confidence Fraud/Romance,27,South Dakota,2019
Corporate Data Breach,2,South Dakota,2019
Credit Card Fraud,19,South Dakota,2019
Crimes Against Children,3,South Dakota,2019
Criminal Forums,0,South Dakota,2019
Denial of Service/TDos,1,South Dakota,2019
Employment,16,South Dakota,2019
Extortion,63,South Dakota,2019
Gambling,0,South Dakota,2019
Government Impersonation,21,South Dakota,2019
Hacktivist,0,South Dakota,2019
Harassment/Threats of Violence,25,South Dakota,2019
Health Care Related,0,South Dakota,2019
IPR/Copyright and Counterfeit,0,South Dakota,2019
Identity Theft,20,South Dakota,2019
Investment,3,South Dakota,2019
Lottery/Sweepstakes/Inheritance,9,South Dakota,2019
Malware/Scareware/Virus,5,South Dakota,2019
Misrepresentation,6,South Dakota,2019
No Lead Value,30,South Dakota,2019
Non-payment/Non-Delivery,99,South Dakota,2019
Other,7,South Dakota,2019
Overpayment,16,South Dakota,2019
Personal Data Breach,52,South Dakota,2019
Phishing/Vishing/Smishing/Pharming,32,South Dakota,2019
Ransomware,6,South Dakota,2019
Re-shipping,1,South Dakota,2019
Real Estate/Rental,9,South Dakota,2019
Spoofing,25,South Dakota,2019
Tech Support,26,South Dakota,2019
Terrorism,0,South Dakota,2019
Social Media,52,South Dakota,2019
Virtual Currency,35,South Dakota,2019
Advanced Fee,213,Tennessee,2019
BEC/EAC,331,Tennessee,2019
Charity,7,Tennessee,2019
Civil Matter,7,Tennessee,2019
Confidence Fraud/Romance,293,Tennessee,2019
Corporate Data Breach,21,Tennessee,2019
Credit Card Fraud,241,Tennessee,2019
Crimes Against Children,23,Tennessee,2019
Criminal Forums,0,Tennessee,2019
Denial of Service/TDos,14,Tennessee,2019
Employment,208,Tennessee,2019
Extortion,725,Tennessee,2019
Gambling,0,Tennessee,2019
Government Impersonation,227,Tennessee,2019
Hacktivist,1,Tennessee,2019
Harassment/Threats of Violence,199,Tennessee,2019
Health Care Related,8,Tennessee,2019
IPR/Copyright and Counterfeit,58,Tennessee,2019
Identity Theft,289,Tennessee,2019
Investment,35,Tennessee,2019
Lottery/Sweepstakes/Inheritance,113,Tennessee,2019
Malware/Scareware/Virus,46,Tennessee,2019
Misrepresentation,87,Tennessee,2019
No Lead Value,629,Tennessee,2019
Non-payment/Non-Delivery,"1,067",Tennessee,2019
Other,83,Tennessee,2019
Overpayment,222,Tennessee,2019
Personal Data Breach,507,Tennessee,2019
Phishing/Vishing/Smishing/Pharming,310,Tennessee,2019
Ransomware,34,Tennessee,2019
Re-shipping,18,Tennessee,2019
Real Estate/Rental,144,Tennessee,2019
Spoofing,343,Tennessee,2019
Tech Support,232,Tennessee,2019
Terrorism,0,Tennessee,2019
Social Media,399,Tennessee,2019
Virtual Currency,473,Tennessee,2019
Advanced Fee,"1,033",Texas,2019
BEC/EAC,"2,149",Texas,2019
Charity,35,Texas,2019
Civil Matter,55,Texas,2019
Confidence Fraud/Romance,"1,287",Texas,2019
Corporate Data Breach,402,Texas,2019
Credit Card Fraud,924,Texas,2019
Crimes Against Children,84,Texas,2019
Criminal Forums,0,Texas,2019
Denial of Service/TDos,122,Texas,2019
Employment,"1,415",Texas,2019
Extortion,"3,110",Texas,2019
Gambling,11,Texas,2019
Government Impersonation,"1,123",Texas,2019
Hacktivist,2,Texas,2019
Harassment/Threats of Violence,"1,079",Texas,2019
Health Care Related,19,Texas,2019
IPR/Copyright and Counterfeit,198,Texas,2019
Identity Theft,"1,047",Texas,2019
Investment,233,Texas,2019
Lottery/Sweepstakes/Inheritance,497,Texas,2019
Malware/Scareware/Virus,157,Texas,2019
Misrepresentation,349,Texas,2019
No Lead Value,"3,243",Texas,2019
Non-payment/Non-Delivery,"4,643",Texas,2019
Other,431,Texas,2019
Overpayment,"1,281",Texas,2019
Personal Data Breach,"2,842",Texas,2019
Phishing/Vishing/Smishing/Pharming,"1,490",Texas,2019
Ransomware,156,Texas,2019
Re-shipping,116,Texas,2019
Real Estate/Rental,728,Texas,2019
Spoofing,"1,746",Texas,2019
Tech Support,957,Texas,2019
Terrorism,1,Texas,2019
Social Media,"2,137",Texas,2019
Virtual Currency,"2,009",Texas,2019
Advanced Fee,3,United States Minor Outlying Islands,2019
BEC/EAC,2,United States Minor Outlying Islands,2019
Charity,0,United States Minor Outlying Islands,2019
Civil Matter,0,United States Minor Outlying Islands,2019
Confidence Fraud/Romance,1,United States Minor Outlying Islands,2019
Corporate Data Breach,0,United States Minor Outlying Islands,2019
Credit Card Fraud,4,United States Minor Outlying Islands,2019
Crimes Against Children,0,United States Minor Outlying Islands,2019
Criminal Forums,0,United States Minor Outlying Islands,2019
Denial of Service/TDos,0,United States Minor Outlying Islands,2019
Employment,1,United States Minor Outlying Islands,2019
Extortion,6,United States Minor Outlying Islands,2019
Gambling,0,United States Minor Outlying Islands,2019
Government Impersonation,3,United States Minor Outlying Islands,2019
Hacktivist,0,United States Minor Outlying Islands,2019
Harassment/Threats of Violence,0,United States Minor Outlying Islands,2019
Health Care Related,0,United States Minor Outlying Islands,2019
IPR/Copyright and Counterfeit,1,United States Minor Outlying Islands,2019
Identity Theft,5,United States Minor Outlying Islands,2019
Investment,0,United States Minor Outlying Islands,2019
Lottery/Sweepstakes/Inheritance,0,United States Minor Outlying Islands,2019
Malware/Scareware/Virus,1,United States Minor Outlying Islands,2019
Misrepresentation,0,United States Minor Outlying Islands,2019
No Lead Value,4,United States Minor Outlying Islands,2019
Non-payment/Non-Delivery,2,United States Minor Outlying Islands,2019
Other,1,United States Minor Outlying Islands,2019
Overpayment,1,United States Minor Outlying Islands,2019
Personal Data Breach,5,United States Minor Outlying Islands,2019
Phishing/Vishing/Smishing/Pharming,4,United States Minor Outlying Islands,2019
Ransomware,0,United States Minor Outlying Islands,2019
Re-shipping,0,United States Minor Outlying Islands,2019
Real Estate/Rental,3,United States Minor Outlying Islands,2019
Spoofing,5,United States Minor Outlying Islands,2019
Tech Support,6,United States Minor Outlying Islands,2019
Terrorism,0,United States Minor Outlying Islands,2019
Social Media,2,United States Minor Outlying Islands,2019
Virtual Currency,6,United States Minor Outlying Islands,2019
Advanced Fee,140,Utah,2019
BEC/EAC,229,Utah,2019
Charity,6,Utah,2019
Civil Matter,9,Utah,2019
Confidence Fraud/Romance,228,Utah,2019
Corporate Data Breach,19,Utah,2019
Credit Card Fraud,213,Utah,2019
Crimes Against Children,8,Utah,2019
Criminal Forums,0,Utah,2019
Denial of Service/TDos,8,Utah,2019
Employment,113,Utah,2019
Extortion,408,Utah,2019
Gambling,1,Utah,2019
Government Impersonation,135,Utah,2019
Hacktivist,1,Utah,2019
Harassment/Threats of Violence,107,Utah,2019
Health Care Related,1,Utah,2019
IPR/Copyright and Counterfeit,13,Utah,2019
Identity Theft,178,Utah,2019
Investment,33,Utah,2019
Lottery/Sweepstakes/Inheritance,72,Utah,2019
Malware/Scareware/Virus,24,Utah,2019
Misrepresentation,47,Utah,2019
No Lead Value,201,Utah,2019
Non-payment/Non-Delivery,496,Utah,2019
Other,42,Utah,2019
Overpayment,263,Utah,2019
Personal Data Breach,377,Utah,2019
Phishing/Vishing/Smishing/Pharming,257,Utah,2019
Ransomware,17,Utah,2019
Re-shipping,8,Utah,2019
Real Estate/Rental,94,Utah,2019
Spoofing,159,Utah,2019
Tech Support,129,Utah,2019
Terrorism,0,Utah,2019
Social Media,325,Utah,2019
Virtual Currency,254,Utah,2019
Advanced Fee,23,Vermont,2019
BEC/EAC,51,Vermont,2019
Charity,0,Vermont,2019
Civil Matter,0,Vermont,2019
Confidence Fraud/Romance,23,Vermont,2019
Corporate Data Breach,3,Vermont,2019
Credit Card Fraud,9,Vermont,2019
Crimes Against Children,1,Vermont,2019
Criminal Forums,0,Vermont,2019
Denial of Service/TDos,2,Vermont,2019
Employment,9,Vermont,2019
Extortion,59,Vermont,2019
Gambling,0,Vermont,2019
Government Impersonation,10,Vermont,2019
Hacktivist,0,Vermont,2019
Harassment/Threats of Violence,17,Vermont,2019
Health Care Related,0,Vermont,2019
IPR/Copyright and Counterfeit,3,Vermont,2019
Identity Theft,16,Vermont,2019
Investment,3,Vermont,2019
Lottery/Sweepstakes/Inheritance,5,Vermont,2019
Malware/Scareware/Virus,2,Vermont,2019
Misrepresentation,4,Vermont,2019
No Lead Value,35,Vermont,2019
Non-payment/Non-Delivery,90,Vermont,2019
Other,8,Vermont,2019
Overpayment,13,Vermont,2019
Personal Data Breach,74,Vermont,2019
Phishing/Vishing/Smishing/Pharming,30,Vermont,2019
Ransomware,1,Vermont,2019
Re-shipping,1,Vermont,2019
Real Estate/Rental,33,Vermont,2019
Spoofing,27,Vermont,2019
Tech Support,35,Vermont,2019
Terrorism,0,Vermont,2019
Social Media,39,Vermont,2019
Virtual Currency,44,Vermont,2019
Advanced Fee,7,Virgin Islands,2019
BEC/EAC,11,Virgin Islands,2019
Charity,0,Virgin Islands,2019
Civil Matter,0,Virgin Islands,2019
Confidence Fraud/Romance,4,Virgin Islands,2019
Corporate Data Breach,0,Virgin Islands,2019
Credit Card Fraud,0,Virgin Islands,2019
Crimes Against Children,0,Virgin Islands,2019
Criminal Forums,0,Virgin Islands,2019
Denial of Service/TDos,0,Virgin Islands,2019
Employment,5,Virgin Islands,2019
Extortion,4,Virgin Islands,2019
Gambling,0,Virgin Islands,2019
Government Impersonation,1,Virgin Islands,2019
Hacktivist,0,Virgin Islands,2019
Harassment/Threats of Violence,5,Virgin Islands,2019
Health Care Related,0,Virgin Islands,2019
IPR/Copyright and Counterfeit,1,Virgin Islands,2019
Identity Theft,2,Virgin Islands,2019
Investment,1,Virgin Islands,2019
Lottery/Sweepstakes/Inheritance,0,Virgin Islands,2019
Malware/Scareware/Virus,0,Virgin Islands,2019
Misrepresentation,1,Virgin Islands,2019
No Lead Value,12,Virgin Islands,2019
Non-payment/Non-Delivery,8,Virgin Islands,2019
Other,0,Virgin Islands,2019
Overpayment,5,Virgin Islands,2019
Personal Data Breach,6,Virgin Islands,2019
Phishing/Vishing/Smishing/Pharming,5,Virgin Islands,2019
Ransomware,0,Virgin Islands,2019
Re-shipping,0,Virgin Islands,2019
Real Estate/Rental,4,Virgin Islands,2019
Spoofing,5,Virgin Islands,2019
Tech Support,0,Virgin Islands,2019
Terrorism,0,Virgin Islands,2019
Social Media,4,Virgin Islands,2019
Virtual Currency,4,Virgin Islands,2019
Advanced Fee,467,Virginia,2019
BEC/EAC,842,Virginia,2019
Charity,17,Virginia,2019
Civil Matter,18,Virginia,2019
Confidence Fraud/Romance,468,Virginia,2019
Corporate Data Breach,35,Virginia,2019
Credit Card Fraud,456,Virginia,2019
Crimes Against Children,27,Virginia,2019
Criminal Forums,0,Virginia,2019
Denial of Service/TDos,17,Virginia,2019
Employment,427,Virginia,2019
Extortion,"1,262",Virginia,2019
Gambling,5,Virginia,2019
Government Impersonation,400,Virginia,2019
Hacktivist,2,Virginia,2019
Harassment/Threats of Violence,475,Virginia,2019
Health Care Related,9,Virginia,2019
IPR/Copyright and Counterfeit,83,Virginia,2019
Identity Theft,511,Virginia,2019
Investment,57,Virginia,2019
Lottery/Sweepstakes/Inheritance,176,Virginia,2019
Malware/Scareware/Virus,63,Virginia,2019
Misrepresentation,136,Virginia,2019
No Lead Value,"2,537",Virginia,2019
Non-payment/Non-Delivery,"1,652",Virginia,2019
Other,135,Virginia,2019
Overpayment,529,Virginia,2019
Personal Data Breach,"1,023",Virginia,2019
Phishing/Vishing/Smishing/Pharming,"1,043",Virginia,2019
Ransomware,39,Virginia,2019
Re-shipping,30,Virginia,2019
Real Estate/Rental,304,Virginia,2019
Spoofing,805,Virginia,2019
Tech Support,365,Virginia,2019
Terrorism,2,Virginia,2019
Social Media,692,Virginia,2019
Virtual Currency,850,Virginia,2019
Advanced Fee,309,Washington,2019
BEC/EAC,606,Washington,2019
Charity,12,Washington,2019
Civil Matter,21,Washington,2019
Confidence Fraud/Romance,548,Washington,2019
Corporate Data Breach,37,Washington,2019
Credit Card Fraud,339,Washington,2019
Crimes Against Children,69,Washington,2019
Criminal Forums,0,Washington,2019
Denial of Service/TDos,17,Washington,2019
Employment,333,Washington,2019
Extortion,"1,365",Washington,2019
Gambling,5,Washington,2019
Government Impersonation,357,Washington,2019
Hacktivist,0,Washington,2019
Harassment/Threats of Violence,405,Washington,2019
Health Care Related,4,Washington,2019
IPR/Copyright and Counterfeit,77,Washington,2019
Identity Theft,347,Washington,2019
Investment,57,Washington,2019
Lottery/Sweepstakes/Inheritance,154,Washington,2019
Malware/Scareware/Virus,88,Washington,2019
Misrepresentation,99,Washington,2019
No Lead Value,"4,765",Washington,2019
Non-payment/Non-Delivery,"1,361",Washington,2019
Other,186,Washington,2019
Overpayment,424,Washington,2019
Personal Data Breach,"1,132",Washington,2019
Phishing/Vishing/Smishing/Pharming,598,Washington,2019
Ransomware,49,Washington,2019
Re-shipping,23,Washington,2019
Real Estate/Rental,396,Washington,2019
Spoofing,428,Washington,2019
Tech Support,329,Washington,2019
Terrorism,1,Washington,2019
Social Media,850,Washington,2019
Virtual Currency,950,Washington,2019
Advanced Fee,48,West Virginia,2019
BEC/EAC,48,West Virginia,2019
Charity,0,West Virginia,2019
Civil Matter,2,West Virginia,2019
Confidence Fraud/Romance,89,West Virginia,2019
Corporate Data Breach,2,West Virginia,2019
Credit Card Fraud,35,West Virginia,2019
Crimes Against Children,5,West Virginia,2019
Criminal Forums,0,West Virginia,2019
Denial of Service/TDos,6,West Virginia,2019
Employment,37,West Virginia,2019
Extortion,110,West Virginia,2019
Gambling,2,West Virginia,2019
Government Impersonation,46,West Virginia,2019
Hacktivist,0,West Virginia,2019
Harassment/Threats of Violence,62,West Virginia,2019
Health Care Related,1,West Virginia,2019
IPR/Copyright and Counterfeit,9,West Virginia,2019
Identity Theft,68,West Virginia,2019
Investment,7,West Virginia,2019
Lottery/Sweepstakes/Inheritance,27,West Virginia,2019
Malware/Scareware/Virus,14,West Virginia,2019
Misrepresentation,15,West Virginia,2019
No Lead Value,67,West Virginia,2019
Non-payment/Non-Delivery,254,West Virginia,2019
Other,27,West Virginia,2019
Overpayment,58,West Virginia,2019
Personal Data Breach,196,West Virginia,2019
Phishing/Vishing/Smishing/Pharming,75,West Virginia,2019
Ransomware,9,West Virginia,2019
Re-shipping,3,West Virginia,2019
Real Estate/Rental,27,West Virginia,2019
Spoofing,58,West Virginia,2019
Tech Support,44,West Virginia,2019
Terrorism,0,West Virginia,2019
Social Media,135,West Virginia,2019
Virtual Currency,66,West Virginia,2019
Advanced Fee,528,Wisconsin,2019
BEC/EAC,296,Wisconsin,2019
Charity,19,Wisconsin,2019
Civil Matter,17,Wisconsin,2019
Confidence Fraud/Romance,291,Wisconsin,2019
Corporate Data Breach,13,Wisconsin,2019
Credit Card Fraud,199,Wisconsin,2019
Crimes Against Children,17,Wisconsin,2019
Criminal Forums,0,Wisconsin,2019
Denial of Service/TDos,15,Wisconsin,2019
Employment,169,Wisconsin,2019
Extortion,524,Wisconsin,2019
Gambling,4,Wisconsin,2019
Government Impersonation,302,Wisconsin,2019
Hacktivist,0,Wisconsin,2019
Harassment/Threats of Violence,183,Wisconsin,2019
Health Care Related,8,Wisconsin,2019
IPR/Copyright and Counterfeit,32,Wisconsin,2019
Identity Theft,212,Wisconsin,2019
Investment,47,Wisconsin,2019
Lottery/Sweepstakes/Inheritance,"1,086",Wisconsin,2019
Malware/Scareware/Virus,31,Wisconsin,2019
Misrepresentation,65,Wisconsin,2019
No Lead Value,192,Wisconsin,2019
Non-payment/Non-Delivery,803,Wisconsin,2019
Other,307,Wisconsin,2019
Overpayment,190,Wisconsin,2019
Personal Data Breach,471,Wisconsin,2019
Phishing/Vishing/Smishing/Pharming,"1,264",Wisconsin,2019
Ransomware,29,Wisconsin,2019
Re-shipping,9,Wisconsin,2019
Real Estate/Rental,103,Wisconsin,2019
Spoofing,812,Wisconsin,2019
Tech Support,193,Wisconsin,2019
Terrorism,1,Wisconsin,2019
Social Media,383,Wisconsin,2019
Virtual Currency,327,Wisconsin,2019
Advanced Fee,33,Wyoming,2019
BEC/EAC,22,Wyoming,2019
Charity,1,Wyoming,2019
Civil Matter,2,Wyoming,2019
Confidence Fraud/Romance,44,Wyoming,2019
Corporate Data Breach,9,Wyoming,2019
Credit Card Fraud,100,Wyoming,2019
Crimes Against Children,3,Wyoming,2019
Criminal Forums,0,Wyoming,2019
Denial of Service/TDos,6,Wyoming,2019
Employment,23,Wyoming,2019
Extortion,66,Wyoming,2019
Gambling,0,Wyoming,2019
Government Impersonation,19,Wyoming,2019
Hacktivist,0,Wyoming,2019
